ID,BMI,Stature,DeltaV,CushionStiffness,LapBeltFriction,LoadLimiter,SeatFriction,ShoulderBeltFriction,AirBagInflation,AirBagVenting,Normalized ChestD,FFL,FFR,HIC
45,22.11428571,1.8,33.5,1.779411765,0.32,1.190588235,1.57,0.69,0.861333333,1.037333333,0.020830524,4623.9,4103.2,486.51
46,23.01428571,1.53,34.7,1.505882353,0.27,0.985882353,0.8,0.53,0.876,1.389333333,0.016671807,1946.4,1360,329.51
47,27.64285714,1.87,23.3,1.020588235,0.25,0.961176471,1.53,0.74,0.883333333,1.638666667,0.016559041,4850.2,5446.5,377.41
48,32.65714286,1.61,42.5,1.664705882,0.9,0.855294118,0.94,0.11,0.868666667,0.707333333,0.029106841,5176.5,5912.6,370.34
49,31.5,1.77,43.4,0.526470588,0.63,1.264705882,0.71,0.22,0.876,1.330666667,0.04972,6435.1,4946.1,603.32
50,24.81428571,1.73,26,0.676470588,0.13,0.742352941,0.69,0.49,0.883333333,1.184,0.015118147,4866.4,6056.2,231.84
51,38.05714286,1.61,23.9,1.082352941,0.94,1.197647059,0.72,0.84,0.883333333,1.132666667,0.018974963,3737.8,3632.7,114.17
52,41.01428571,1.71,34.4,1.85,0.95,0.936470588,1.84,0.47,0.890666667,1.074,0.033699027,5928.7,5957.1,356.88
53,29.18571429,1.85,47.3,1.902941176,0.97,1.045882353,0.65,0.78,0.898,1.396666667,0.057205524,6590.1,8589.2,3019.6
54,38.18571429,1.56,27.5,1.682352941,0.67,0.756470588,1.79,0.38,0.898,1.734,0.036659326,5092.3,5810.8,767.5
55,42.17142857,1.58,41.3,1.938235294,0.83,1.257647059,1.13,0.9,0.905333333,0.986,0.032399247,7673.2,8570.9,323.65
56,31.11428571,1.52,20.9,0.791176471,0.2,0.88,0.87,0.32,0.898,1.748666667,0.029063424,3161.9,3610.7,486.51
57,28.8,1.53,38.3,1.029411765,0.81,0.904705882,1.77,0.25,0.905333333,1.191333333,0.018503431,2764.5,3559.3,314.43
58,34.84285714,1.65,47,1.126470588,0.1,0.763529412,1.36,0.81,0.905333333,0.964,0.051795127,5228.9,6816.5,925.65
59,27,1.68,47.3,0.844117647,0.32,1.172941176,1.01,0.99,0.912666667,1.668,0.018688067,4215,4650.1,656.57
60,27.38571429,1.84,36.2,1.444117647,0.16,1.151764706,1.71,0.41,0.92,0.817333333,0.021310163,6638.8,7250.7,382.11
61,18,1.64,39.5,0.561764706,0.67,1.070588235,1.02,0.59,0.92,1.235333333,0.018855823,3655.9,4988.4,628.55
62,19.02857143,1.6,32.9,1.841176471,0.6,1.208235294,0.56,0.37,0.927333333,1.58,0.023359312,3306.6,2663.1,315.42
63,26.61428571,1.85,25.7,1.805882353,0.35,1.077647059,0.96,0.18,0.927333333,1.8,0.018648767,5777.8,5655.1,406.24
64,24.81428571,1.59,30.5,0.905882353,0.66,1.282352941,1.62,0.88,0.934666667,1.440666667,0.016193513,2061.1,963.71,229.07
65,20.05714286,1.88,44,1.329411765,0.81,0.858823529,0.53,0.17,0.934666667,1.47,0.02292669,7352.6,8231.1,2831.4
66,21.08571429,1.61,47,1.505882353,0.78,1.095294118,1.18,0.73,0.942,1.763333333,0.017212525,2722.9,3799.2,701.33
67,38.7,1.54,28.4,1.55,0.11,1.063529412,1.05,0.23,0.942,0.729333333,0.025879525,5486.3,5646.5,265.65
136,34.97142857,1.72,21.5,1.241176471,0.77,1.063529412,1.82,0.97,0.949333333,1.514,0.016253072,3618.2,3128.2,92.1
137,27.38571429,1.9,28.4,0.579411765,0.69,0.788235294,0.72,0.85,0.949333333,0.92,0.016902078,6529.8,7627.2,258.79
138,41.27142857,1.5,42.5,1.179411765,0.73,0.710588235,1.73,0.54,0.949333333,1.03,0.046113537,6899.8,9141.4,104.98
139,22.37142857,1.68,23.9,1.214705882,0.36,1.236470588,2,0.46,0.949333333,0.7,0.022964343,2977.8,4400.7,319.59
140,21.34285714,1.69,35,0.764705882,0.45,0.908235294,0.65,0.28,0.956666667,1.000666667,0.019195583,4201.2,5424.8,167.18
141,40.11428571,1.62,36.2,2,0.33,0.872941176,0.84,0.71,0.964,0.912666667,0.041081794,7754,9574.1,428.98
142,29.57142857,1.75,42.5,1.382352941,0.28,1.014117647,1.87,0.29,0.964,1.734,0.044800231,5869.6,6321.5,526.29
143,39.21428571,1.85,27.5,1.135294118,0.76,1.247058824,0.87,0.75,0.978666667,0.751333333,0.01647647,5240.8,7171.8,260.62
144,33.42857143,1.88,49.7,0.808823529,0.22,0.830588235,1.46,0.24,0.978666667,1.147333333,0.065958664,7618.6,9010,4208.1
145,20.31428571,1.82,45.2,1.876470588,0.74,1.275294118,1.66,0.43,0.978666667,1.184,0.029096438,6561.7,8636,1112.9
146,19.41428571,1.56,24.5,0.791176471,0.58,0.714117647,1.01,0.79,0.978666667,0.876,0.015059079,970.46,458.9,84.401
147,34.97142857,1.67,26.6,1.461764706,0.34,1.102352941,0.55,0.33,0.986,1.081333333,0.020987281,4220.2,4519.3,89.311
148,37.41428571,1.87,41,1.982352941,0.6,0.767058824,1.62,0.7,0.986,1.462666667,0.047237718,6881,8161.8,2559.5
149,40.75714286,1.64,48.8,1.241176471,0.66,0.908235294,0.82,0.12,0.993333333,1.778,0.066172283,6814,7085.3,1324.3
150,25.07142857,1.78,20.6,0.773529412,0.62,1.158823529,1.77,0.53,0.993333333,1.066666667,0.021282439,4166.3,2682.7,126.02
