ID,BMI                     ,Stature,DeltaV                  ,CushionStiffness        ,LapBeltFriction         ,LoadLimiter             ,SeatFriction            ,ShoulderBeltFriction    ,AirBagInflation         ,AirBagVenting           ,Normalized ChestD,FFL                     ,FFR                     ,HIC                     
901,37.8,1.61,49.4,1.735294118,0.12,0.894117647,0.71,0.42,1.69,1.455333333,0.06031088,9881.2,11448,1222.2
902,29.7,1.83,49.4,0.967647059,0.5,0.936470588,1.91,0.7,1.697333333,1.294,0.031187437,6588,7459,507.25
903,18.51428571,1.8,34.1,1.858823529,0.69,1,1.43,0.14,1.697333333,1.565333333,0.022770727,5040,4260,409
904,33.17142857,1.55,37.4,0.808823529,0.21,1.123529412,0.78,0.28,1.697333333,1.330666667,0.0411636,5621.5,6133.1,160.28
905,44.1,1.68,27.5,1.170588235,0.48,1.204705882,0.7,0.54,1.697333333,1.69,0.018575251,4780,5610,144
906,24.55714286,1.65,22.1,0.711764706,0.65,1.264705882,1.35,0.34,1.697333333,1.712,0.016075993,3930,4750,233
907,34.97142857,1.54,30.8,1.126470588,0.47,0.858823529,1.47,0.39,1.697333333,1.059333333,0.018698808,4763.9,5200.9,182.44
908,39.47142857,1.72,38.9,1.364705882,0.75,1.091764706,1.83,0.89,1.697333333,1.587333333,0.033386965,5534,6465.6,310.46
909,33.68571429,1.85,29,1.391176471,0.62,0.788235294,0.89,0.8,1.697333333,1.03,0.018698692,4554.9,4796.4,48.152
910,41.01428571,1.79,45.2,1.629411765,0.6,0.978823529,1.16,0.42,1.704666667,1.14,0.040800203,7379.8,8242.5,369.34
911,41.78571429,1.58,33.2,0.888235294,0.49,0.735294118,1.28,0.53,1.704666667,1.411333333,0.017144828,4150,4440,157
912,24.94285714,1.6,29.6,1.567647059,0.62,1.3,1.84,0.46,1.704666667,1.103333333,0.025611188,1828.9,1653.7,117.88
913,21.34285714,1.87,50,0.870588235,0.93,1.105882353,1.26,0.82,1.704666667,0.817333333,0.020373438,6497.2,8114.5,513.62
914,26.61428571,1.56,48.5,1.055882353,0.28,0.968235294,1,0.46,1.704666667,0.854,0.017216817,4117.4,5075.7,414.66
915,23.27142857,1.66,39.2,0.747058824,0.29,0.763529412,1.32,0.82,1.712,1.367333333,0.016688177,3820,4460,191
916,31.75714286,1.57,47.3,1.435294118,0.77,1.243529412,1.98,0.81,1.712,1.037333333,0.016264978,3160.8,6152.8,713.47
917,21.21428571,1.87,22.4,1.735294118,0.43,0.883529412,1.97,0.26,1.712,1.58,0.018776435,4090,3510,142
918,35.22857143,1.74,47.3,1.708823529,0.19,1.144705882,0.59,0.32,1.712,1.147333333,0.033419956,6741.2,6826,311.07
919,18.38571429,1.75,27.8,1.302941176,0.2,0.862352941,1.31,0.95,1.712,1.125333333,0.028277211,4144.3,5120,79.846
920,42.42857143,1.68,45.5,1.364705882,0.15,1.070588235,1.3,0.23,1.712,0.898,0.033249591,5860.3,6973.8,211.84
921,41.14285714,1.83,46.1,0.764705882,0.78,1.278823529,1.42,0.31,1.719333333,0.81,0.040818516,7766.1,9680.6,317.14
